dataset,version,metric,mode,ampere_7B_FT_0.17rc8_32k_0802_3755
multifieldqa_zh_4k,e9a7ef,score,gen,56.46
passage_retrieval_zh_8k,01cca2,score,gen,100
stackselect_2k,03f1f8,score,gen,48.5
stackselect_4k,03f1f8,score,gen,34.5
stackselect_8k,03f1f8,score,gen,13.5
stackselect_15k,c92c67,score,gen,2.5
stackselect_30k,42fd23,score,gen,1
textsort_2k,28f0f7,score,gen,6
textsort_4k,28f0f7,score,gen,7
textsort_8k,28f0f7,score,gen,4
textsort_15k,4d7bcb,score,gen,4
textsort_30k,781c84,score,gen,4
trec_e_2k,824187,score,gen,50
trec_e_4k,824187,score,gen,63.83
trec_e_8k,824187,score,gen,75
trec_e_15k,824187,score,gen,78.05
ds1000_Pandas,353ae7,accuracy,gen,7.22
ds1000_Numpy,353ae7,accuracy,gen,4.09
ceval-middle_school_geography,8a63be,accuracy,gen,75
ceval-middle_school_politics,5be3e7,accuracy,gen,76.19
ceval-teacher_qualification,4e4ced,accuracy,gen,81.82
ceval-art_studies,2a1300,accuracy,gen,66.67
ceval-chinese_language_and_literature,0f8b68,accuracy,gen,65.22
ceval-high_school_chinese,315705,accuracy,gen,68.42
ceval-high_school_history,7eb30a,accuracy,gen,80
ceval-ideological_and_moral_cultivation,a2aa4a,accuracy,gen,94.74
ceval-law,a110a1,accuracy,gen,37.5
ceval-legal_professional,ce8787,accuracy,gen,43.48
agieval-aqua-rat,c090ca,accuracy,gen,24.02
agieval-math,e0c6d9,score,gen,15.8
agieval-logiqa-en,c6ee60,accuracy,gen,42.09
agieval-logiqa-zh,03474d,accuracy,gen,46.54
agieval-jec-qa-kd,b1e586,accuracy,gen,27.4
agieval-jec-qa-ca,47bc29,accuracy,gen,25.5
agieval-lsat-ar,ed1edf,accuracy,gen,21.74
agieval-lsat-lr,ec6882,accuracy,gen,47.25
agieval-lsat-rc,33077d,accuracy,gen,67.66
agieval-sat-math,6c970d,accuracy,gen,35.91
agieval-sat-en,4e3fef,accuracy,gen,85.92
agieval-sat-en-without-passage,4e3fef,accuracy,gen,42.72
agieval-gaokao-chinese,774562,accuracy,gen,80.08
agieval-gaokao-english,cb5bc6,accuracy,gen,87.91
agieval-gaokao-geography,2ca56f,accuracy,gen,81.41
agieval-gaokao-history,9c3ae0,accuracy,gen,87.66
agieval-gaokao-biology,277c85,accuracy,gen,78.1
lukaemon_mmlu_astronomy,4dd3a8,accuracy,gen,66.45
lukaemon_mmlu_business_ethics,dc6ec0,accuracy,gen,65
lukaemon_mmlu_clinical_knowledge,7437b5,accuracy,gen,67.17
lukaemon_mmlu_college_biology,9c8f5e,accuracy,gen,72.92
lukaemon_mmlu_college_chemistry,e44abe,accuracy,gen,48
lukaemon_mmlu_college_computer_science,37bffd,accuracy,gen,52
lukaemon_mmlu_college_mathematics,44e388,accuracy,gen,34
lukaemon_mmlu_college_medicine,f6342e,accuracy,gen,60.69
